concern_id,source,vaccine_type,class,statement
0,human,unspecified,VaxConcerns_1,there are issues with the research of vaccines
1,human,unspecified,VaxConcerns_1.1,there is not enough quantity of research regarding vaccines
2,human,unspecified,VaxConcerns_1.2,the research on vaccines is low-quality
3,human,unspecified,VaxConcerns_1.3,science could be wrong about their conclusions on vaccination
4,human,unspecified,VaxConcerns_2,the vaccine has limited benefits
5,human,unspecified,VaxConcerns_2.1,the protection you get from vaccines is imperfect
6,human,unspecified,VaxConcerns_2.2,you might still get infected even if you get vaccinated
7,human,unspecified,VaxConcerns_2.2,you can get protection from the disease from herd immunity instead of the vaccine
8,human,unspecified,VaxConcerns_2.3,natural immunity is better than immunity from vaccination
9,human,unspecified,VaxConcerns_2.4,the disease isn’t dangerous enough to warrant getting vaccinated
10,human,unspecified,VaxConcerns_2.5,the virus isn’t common enough to justify getting vaccinated
11,human,unspecified,VaxConcerns_2.5,there are better alternatives to getting vaccinated
12,human,unspecified,VaxConcerns_3,there are health risks to getting vaccinated
13,human,unspecified,VaxConcerns_3.1,you can get sick from the vaccine
14,human,unspecified,VaxConcerns_3.2,there are harmful ingredients in vaccines
15,human,unspecified,VaxConcerns_3.3,the vaccine has bad side effects
16,human,unspecified,VaxConcerns_3.4,multiple vaccinations may overwhelm the immune system
17,human,unspecified,VaxConcerns_3.5,certain individuals have a higher risk for harm when getting vaccinated
18,human,unspecified,VaxConcerns_4,vaccination often disregard individual rights
19,human,unspecified,VaxConcerns_4.1,their religion doesn’t allow them to get vaccinated
20,human,unspecified,VaxConcerns_4.2,they have a right to choose not to get vaccinated
21,human,unspecified,VaxConcerns_5,certain people involved with vaccines are untrustworthy
22,human,unspecified,VaxConcerns_5.1,the people involved with vaccination are incompetent
23,human,unspecified,VaxConcerns_5.2,vaccines are mainly pushed so companies can earn profit
24,human,unspecified,VaxConcerns_5.3,negative information about vaccines gets censored
25,human,unspecified,VaxConcerns_5.4,vaccination is a conspiracy
26,gpt-4-0613,unspecified,VaxConcerns_1.1,we need more research data evaluating the interactions of vaccinations with various chronic illnesses
27,gpt-4-0613,unspecified,VaxConcerns_1.1,we don't have sufficient research to fully understand the cumulative effects of multiple vaccines administered at the same time
28,gpt-4-0613,unspecified,VaxConcerns_1.1,there has been too little research looking into potential genetic predispositions to vaccine reactions
29,gpt-4-0613,unspecified,VaxConcerns_1.1,there are still unanswered questions regarding how the body's immune system responds to vaccinations over a lifetime
30,gpt-4-0613,unspecified,VaxConcerns_1.1,there is an inadequacy of studies investigating the efficacy of vaccines against the multitude of virus strains
31,gpt-4-0613,unspecified,VaxConcerns_1.1,there isn't enough research to confirm whether vaccines might interact with or influence other medications a person might be taking
32,gpt-4-0613,unspecified,VaxConcerns_1.1,there is a lack of substantial studies on the potential risks of vaccinating pregnant women
33,gpt-4-0613,unspecified,VaxConcerns_1.1,the volume of studies assessing vaccine effects in elderly populations is quite limited
34,gpt-4-0613,unspecified,VaxConcerns_1.1,we still need more research on the immune system's response when vaccines are given
35,gpt-4-0613,unspecified,VaxConcerns_1.1,vaccines can't truly be deemed safe or effective until additional research is conducted
36,gpt-4-0613,covid19,VaxConcerns_1.1,"there is not enough research to confidently assert the long-term impacts of the COVID-19 vaccine, as it was released fairly rapidly in response to the pandemic"
37,gpt-4-0613,covid19,VaxConcerns_1.1,there's a lack of extensive studies exploring potential side effects of the COVID-19 vaccine
38,gpt-4-0613,covid19,VaxConcerns_1.1,not enough time has been spent researching the possible adverse effects of giving the COVID-19 vaccine to pregnant women
39,gpt-4-0613,covid19,VaxConcerns_1.1,the insufficient human trials of the COVID-19 vaccine are alarming
40,gpt-4-0613,covid19,VaxConcerns_1.1,we don't have enough data on the repercussions of the COVID-19 vaccine on our immune systems
41,gpt-4-0613,covid19,VaxConcerns_1.1,there haven't been enough studies comparing the efficacy of COVID-19 vaccines from different manufacturers
42,gpt-4-0613,covid19,VaxConcerns_1.1,we do not have enough research on the long term impact of COVID-19 vaccines on those with chronic illnesses
43,gpt-4-0613,covid19,VaxConcerns_1.1,our understanding of COVID-19 vaccine interactions with other medications is hampered by a lack of research
44,gpt-4-0613,covid19,VaxConcerns_1.1,there isn't a substantial body of research addressing the COVID-19 vaccine's interactions with other vaccines
45,gpt-4-0613,covid19,VaxConcerns_1.1,we don't have enough studies proving the effectiveness of booster shots of COVID-19
46,gpt-4-0613,hpv,VaxConcerns_1.1,the amount of research available on HPV vaccines is simply insufficient
47,gpt-4-0613,hpv,VaxConcerns_1.1,we're basing our conclusions on a relatively small number of studies about the HPV vaccination
48,gpt-4-0613,hpv,VaxConcerns_1.1,the lack of substantial research into HPV vaccines makes it more of a risk
49,gpt-4-0613,hpv,VaxConcerns_1.1,the necessary comprehensive studies on HPV vaccines were not carried out
50,gpt-4-0613,hpv,VaxConcerns_1.1,the claim that HPV vaccines are safe due to the lack of numerous in-depth investigations
51,gpt-4-0613,hpv,VaxConcerns_1.1,the research related to HPV vaccines seems sparse at best
52,gpt-4-0613,hpv,VaxConcerns_1.1,there's a significant gap in the existing research around HPV vaccines
53,gpt-4-0613,hpv,VaxConcerns_1.1,medical professionals are placing too much trust in the few studies that were conducted on the HPV vaccine
54,gpt-4-0613,hpv,VaxConcerns_1.1,we've been too quick to endorse the HPV vaccine without adequate research
55,gpt-4-0613,hpv,VaxConcerns_1.1,the HPV vaccine has not been subjected to enough longitudinal studies to fully comprehend long-term effects
56,gpt-4-0613,mmr,VaxConcerns_1.1,there has not been enough comprehensive research done on the MMR vaccine to definitively prove its safety
57,gpt-4-0613,mmr,VaxConcerns_1.1,we are urging mass vaccinations without sufficient studies on the potential long-term effects of the MMR vaccine
58,gpt-4-0613,mmr,VaxConcerns_1.1,there's a serious deficit in the amount of scientific research done to address potential side effects of the MMR vaccine
59,gpt-4-0613,mmr,VaxConcerns_1.1,"despite its widespread use, there's not enough research to dispel specific fears about the MMR vaccine"
60,gpt-4-0613,mmr,VaxConcerns_1.1,there is a lack of sufficient experimentation detailing the cumulative effects of the MMR vaccine on our immune systems
61,gpt-4-0613,mmr,VaxConcerns_1.1,"our trust in the MMR vaccine may be misplaced, as there is not enough research on its potential complications"
62,gpt-4-0613,mmr,VaxConcerns_1.1,there have not been enough studies conducted targeting the various adverse reactions that could be caused by the MMR vaccine
63,gpt-4-0613,mmr,VaxConcerns_1.1,the lack of extensive research regarding the MMR vaccine's possible impact on autoimmune disorders
64,gpt-4-0613,mmr,VaxConcerns_1.1,the MMR vaccine's safety due to the lack of plentiful and detailed studies on the matter
65,gpt-4-0613,mmr,VaxConcerns_1.1,"there isn't enough substantive research into the MMR vaccine, and until more studies are conducted, some of my concerns will remain"
66,gpt-4-0613,influenza,VaxConcerns_1.1,there have not been enough longitudinal studies done on the long-term effects of the influenza vaccine
67,gpt-4-0613,influenza,VaxConcerns_1.1,there needs to be more research done on how successful the flu shot is at preventing all strains the virus
68,gpt-4-0613,influenza,VaxConcerns_1.1,not enough research has been conducted into whether the influenza vaccines are safe for all age groups
69,gpt-4-0613,influenza,VaxConcerns_1.1,there is not enough conclusive research addressing how frequently one should get the flu shot
70,gpt-4-0613,influenza,VaxConcerns_1.1,there just doesn't seem to be enough information out there about its side effects.
71,gpt-4-0613,influenza,VaxConcerns_1.1,the lack of adequate research on potential allergenic reactions to the flu vaccine is causing unnecessary worry and hesitancy
72,gpt-4-0613,influenza,VaxConcerns_1.1,there have not been enough studies comparing it to other methods of prevention
73,gpt-4-0613,influenza,VaxConcerns_1.1,there isn't enough research focusing on the interaction of the flu shot with other medications
74,gpt-4-0613,influenza,VaxConcerns_1.1,there are not enough research studies investigating the effectiveness of the flu shot in immunocompromised individuals
75,gpt-4-0613,influenza,VaxConcerns_1.1,the lack of extensive research on the impact of yearly influenza vaccinations on overall immunity is causing unnecessary fear and skepticism
76,gpt-4-0613,yellow_fever,VaxConcerns_1.1,the medical community hasn't sufficiently researched the yellow fever vaccine for me to consider it safe.
77,gpt-4-0613,yellow_fever,VaxConcerns_1.1,there are not enough studies examining the long-term effects of the yellow fever vaccine
78,gpt-4-0613,yellow_fever,VaxConcerns_1.1,there is a gaping hole of information surrounding the yellow fever vaccine due to the lack of focused research
79,gpt-4-0613,yellow_fever,VaxConcerns_1.1,our understanding of the yellow fever vaccine is compromised by insufficient scientific studies
80,gpt-4-0613,yellow_fever,VaxConcerns_1.1,"despite its widespread use, the yellow fever vaccine doesn't have enough research behind it"
81,gpt-4-0613,yellow_fever,VaxConcerns_1.1,there is a significant shortage of in-depth research about the potential side effects of the yellow fever vaccine
82,gpt-4-0613,yellow_fever,VaxConcerns_1.1,there are still too many unanswered questions about the yellow fever vaccine due to insufficient research
