opinion_id,pew_id,statement
0,SAFECRIME_W26,The local community is very safe from crime.
1,WORLDDANGER_W26,"Compared to 50 years ago, we live in a safer world."
2,WORRYA_W26,One should worry a lot about the possibility of having their home broken into.
3,WORRYB_W26,One should worry a lot about being the victim of a terrorist attack.
4,WORRYC_W26,One should worry a lot about losing their job.
5,WORRYD_W26,One should worry a lot about not being able to pay their bills.
6,WORRYE_W26,One should worry a lot about being the victim of a violent crime.
7,WORRYF_W26,One should worry a lot about the possibility of being the victim of a mass shooting.
8,WORRYG_W26,One should worry a lot about having a personal health crisis.
9,GUN_W26,Everyone should personally own a gun.
10,REASONGUNA_W26,Owning a gun is a major form of protection.
11,REASONGUNB_W26,One should own a gun for hunting.
12,REASONGUNC_W26,"One should own a gun for sport shooting, including target shooting and trap and skeet."
13,REASONGUNE_W26,A lot of people own guns for their job.
14,IMPREASONGUN_W26,The most important reason to own a gun is for protection.
15,GUNIDENTITY_W26,Being a gun owner is very important to one's overall identity.
16,GUNSOCIETY_W26,Society in general tends to look at most gun owners in a positive way.
17,SHOOTFREQ_W26,One should often go shooting or to a gun range.
18,GUNSAFE_W26,Having a gun in your household makes one feel safer than they would feel without a gun in their household.
19,GUNCOURSES_W26,"One should take gun safety courses such as weapons training, hunter safety or firearm safety."
20,GUNACCESS_W26,"When one is at home, there should be a gun that is both loaded and easily accessible all of the time."
21,GUNLOCKED2_W26,"In general, the gun in one's home should be kept in a locked place."
22,GUNCONTRIBA_W26,The ease with which people can legally obtain guns contributes a great deal to gun violence in the country today.
23,GUNCONTRIBB_W26,The ease with which people can illegally obtain guns contributes a great deal to gun violence in the country today.
24,GUNCONTRIBC_W26,The amount of gun violence in movies and television contributes a great deal to gun violence in the country today.
25,GUNCONTRIBD_W26,Lack of economic opportunities contributes a great deal to gun violence in the country today.
26,GUNCONTRIBE_W26,The amount of gun violence in video games contributes a great deal to gun violence in the country today.
27,GUNCONTRIBF_W26,Family instability contributes a great deal to gun violence in the country today.
28,GROWUPVIOL_W26,Gun violence was a very big problem in the community where one spent the majority of their time growing up.
29,GROWUPGUN1_W26,"When one was growing up, there were guns in their household as far as they know."
30,GROWUPGUN2A_W26,For protection was a reason why there were guns in the household when one was growing up.
31,GROWUPGUN2B_W26,For hunting was a reason why there were guns in the household when one was growing up.
32,GROWUPGUN2C_W26,"For sport shooting, including target shooting and trap and skeet, was a reason why there were guns in the household when one was growing up."
33,GROWUPGUN4_W26,"In the community where one spent the majority of their growing up time, as far as they know, all or most people owned guns."
34,GROWUPGUN6_W26,One often went shooting or to a gun range while growing up.
35,GROWUPGUN7_W26,"When growing up, one often used air guns, such as paintball, BB or pellet guns."
36,GUNRESPNOKIDSA_W26,Gun owners who do not have children in their home should keep all of their guns in a locked place.
37,GUNRESPNOKIDSB_W26,Gun owners who do not have children in their home should keep all of their guns loaded.
38,GUNRESPNOKIDSC_W26,Gun owners who do not have children in their home must take gun safety courses.
39,GUNRESPNOKIDSD_W26,Gun owners who do not have children in their home must advise visitors that there are guns in the house.
40,GUNRESPNOKIDSE_W26,Gun owners who do not have children in their home should advise visitors with children that there are guns in the house.
41,GUNRESPNOKIDSF_W26,Gun owners who do not have children in their home should store guns and ammunition separately.
42,GUNRESPNOKIDSG_W26,Gun owners who do not have children in their home should keep their shooting skills up-to-date.
